work_order_id,failure_mode,action
WO-00001,shaft_misalignment,Vibration Analysis
WO-00001,shaft_misalignment,Alignment Check
WO-00002,lubrication_failure,Lubrication Service
WO-00002,lubrication_failure,Filter Replacement
WO-00003,shaft_misalignment,Shaft Repair Kit
WO-00003,shaft_misalignment,Alignment Check
WO-00003,shaft_misalignment,Vibration Analysis
WO-00003,shaft_misalignment,Coupling Inspection
WO-00004,lubrication_failure,Lubrication Service
WO-00004,lubrication_failure,Filter Replacement
WO-00005,lubrication_failure,Seal Inspection
WO-00005,lubrication_failure,Lubrication Service
WO-00005,lubrication_failure,Oil Sample Test
WO-00005,lubrication_failure,Filter Replacement
WO-00006,bearing_wear,Vibration Analysis
WO-00006,bearing_wear,Alignment Check
WO-00006,bearing_wear,Lubrication Service
WO-00007,rotor_imbalance,Vibration Analysis
WO-00007,rotor_imbalance,Rotor Balancing Kit
WO-00008,shaft_misalignment,Alignment Check
WO-00008,shaft_misalignment,Coupling Inspection
WO-00008,shaft_misalignment,Vibration Analysis
WO-00009,seal_leakage,Housing Inspection
WO-00009,seal_leakage,Pressure Test
WO-00010,shaft_misalignment,Alignment Check
WO-00010,shaft_misalignment,Vibration Analysis
WO-00010,shaft_misalignment,Coupling Inspection
WO-00011,cavitation,Suction Line Check
WO-00011,cavitation,Pressure Test
WO-00011,cavitation,Impeller Inspection
WO-00011,cavitation,Flow Rate Calibration
WO-00012,lubrication_failure,Lubrication Service
WO-00012,lubrication_failure,Seal Inspection
WO-00012,lubrication_failure,Filter Replacement
WO-00013,impeller_erosion,Flow Rate Calibration
WO-00013,impeller_erosion,Housing Inspection
WO-00013,impeller_erosion,Impeller Replacement Kit
WO-00014,cavitation,Suction Line Check
WO-00014,cavitation,Pressure Test
WO-00014,cavitation,Flow Rate Calibration
WO-00015,shaft_misalignment,Coupling Inspection
WO-00015,shaft_misalignment,Vibration Analysis
WO-00015,shaft_misalignment,Alignment Check
WO-00015,shaft_misalignment,Shaft Repair Kit
WO-00016,motor_winding_failure,Motor Current Calibration
WO-00016,motor_winding_failure,Cooling System Check
WO-00016,motor_winding_failure,Motor Winding Repair Kit
WO-00017,cavitation,Suction Line Check
WO-00017,cavitation,Impeller Inspection
WO-00018,cavitation,Pressure Test
WO-00018,cavitation,Impeller Inspection
WO-00018,cavitation,Flow Rate Calibration
WO-00019,cavitation,Flow Rate Calibration
WO-00019,cavitation,Suction Line Check
WO-00020,motor_winding_failure,Motor Current Calibration
WO-00020,motor_winding_failure,Motor Winding Repair Kit
WO-00021,lubrication_failure,Filter Replacement
WO-00021,lubrication_failure,Seal Inspection
WO-00021,lubrication_failure,Oil Sample Test
WO-00021,lubrication_failure,Lubrication Service
WO-00022,cavitation,Suction Line Check
WO-00022,cavitation,Pressure Test
WO-00023,motor_winding_failure,Motor Winding Repair Kit
WO-00023,motor_winding_failure,Cooling System Check
WO-00024,rotor_imbalance,Bearing Inspection
WO-00024,rotor_imbalance,Vibration Analysis
WO-00025,shaft_misalignment,Shaft Repair Kit
WO-00025,shaft_misalignment,Vibration Analysis
WO-00025,shaft_misalignment,Coupling Inspection
WO-00026,seal_leakage,Seal Replacement Kit
WO-00026,seal_leakage,Pressure Test
WO-00026,seal_leakage,Housing Inspection
WO-00026,seal_leakage,Gasket Kit
WO-00027,cavitation,Pressure Test
WO-00027,cavitation,Suction Line Check
WO-00028,rotor_imbalance,Rotor Balancing Kit
WO-00028,rotor_imbalance,Vibration Analysis
WO-00028,rotor_imbalance,Bearing Inspection
WO-00029,shaft_misalignment,Vibration Analysis
WO-00029,shaft_misalignment,Shaft Repair Kit
WO-00029,shaft_misalignment,Alignment Check
WO-00029,shaft_misalignment,Coupling Inspection
WO-00030,cavitation,Impeller Inspection
WO-00030,cavitation,Pressure Test
WO-00031,cavitation,Impeller Inspection
WO-00031,cavitation,Flow Rate Calibration
WO-00031,cavitation,Suction Line Check
WO-00032,seal_leakage,Seal Replacement Kit
WO-00032,seal_leakage,Housing Inspection
WO-00033,shaft_misalignment,Shaft Repair Kit
